1,E7750A37CAB07D0DFF0AF7E3573AC141,2013-01-01 01:00:00,2013-01-01 01:02:00,120,0.44,-73.956528,40.716976,-73.962440,40.715008,CSH,3.50,0.50,0.50,0.00,0.00,4.50
1,E7750A37CAB07D0DFF0AF7E3573AC141,2013-01-01 02:02:00,2013-01-01 02:02:00,0,0.00,0.000000,0.000000,0.000000,0.000000,CSH,27.00,0.00,0.50,0.00,0.00,27.50
2,778C92B26AE78A9EBDF96B49C67E4007,2013-01-01 03:01:00,2013-01-01 03:03:00,120,0.71,-73.973145,40.752827,-73.965897,40.760445,CSH,4.00,0.50,0.50,0.00,0.00,5.00
3,BE317B986700F63C43438482792C8654,2013-01-01 01:01:00,2013-01-01 01:03:00,120,0.48,-74.004173,40.720947,-74.003838,40.726189,CSH,4.00,0.50,0.50,0.00,0.00,5.00
4,BE317B986700F63C43438482792C8654,2013-01-01 02:01:00,2013-01-01 02:03:00,120,0.61,-73.987373,40.724861,-73.983772,40.730995,CRD,4.00,0.50,0.50,0.00,0.00,5.00
5,00B7691D86D96AEBD21DD9E138F90840,2013-01-01 01:02:00,2013-01-01 02:03:00,60,0.00,0.000000,0.000000,0.000000,0.000000,CRD,2.50,0.50,0.50,0.25,0.00,3.75
6,CF8604E72D83840FBA1978C2D2FC9CDB,2013-01-01 04:02:00,2013-01-01 04:03:00,60,0.39,-73.981544,40.781475,-73.979439,40.784386,CRD,3.00,0.50,0.50,0.70,0.00,4.70
6,E0B2F618053518F24790C7FD0264E302,2013-01-01 03:03:00,2013-01-01 03:04:00,60,0.00,-73.993973,40.751266,0.000000,0.000000,CSH,2.50,0.50,0.50,0.00,0.00,3.50
7,BB899DFEA9CC964B50C540A1D685CCFB,2013-01-01 02:00:00,2013-01-01 02:04:00,240,1.71,-73.955383,40.779728,-73.967758,40.760326,CSH,6.50,0.50,0.50,0.00,0.00,7.50
1,B7567F5BFD558C665D23B18451FE1FD1,2013-01-01 01:00:00,2013-01-01 02:04:00,240,1.21,0,40.793140,-73.981453,40.778465,CRD,6.00,0.50,0.50,1.30,0.00,8.30
2,ED368552102F12EA252C63782F12CD4C,2013-01-01 04:01:00,2013-01-01 04:04:00,180,0.74,-73.971138,40.758980,-73.972206,40.752502,CRD,4.50,0.50,0.50,0.00,0.00,5.50
2,00B7691D86D96AEBD21DD9E138F90840,2013-01-01 01:03:00,2013-01-01 01:04:00,60,0.00,0.000000,0.000000,0.000000,0.000000,CRD,3.00,0.50,0.50,0.07,0.00,4.07
3,E255D5DFB9A967B9D55472A4D7ABA428,2013-01-01 01:01:00,2013-01-01 01:04:00,180,0.84,-73.942841,40.797031,-73.934540,40.797314,CSH,4.50,0.50,0.50,0.00,0.00,5.50
5,95B5B3CDA9EDC88AA395239589B57196,2013-01-01 06:03:00,2013-01-01 06:04:00,60,0.00,-73.989189,40.721924,0.000000,0.000000,CSH,2.50,0.50,0.50,0.00,0.00,3.50
4,1D7876BD692018A5BE422C420A5148EA,2013-01-01 07:01:00,2013-01-01 07:04:00,180,0.95,-73.976753,40.750706,-73.990089,40.750729,CSH,5.00,0.50,0.50,0.00,0.00,6.00
7,00B7691D86D96AEBD21DD9E138F90840,2013-01-01 08:03:00,2013-01-01 08:04:00,60,0.00,-73.937637,40.758369,-73.937607,40.758350,CRD,2.50,0.50,0.50,0.25,0.00,3.75
9,3EDDD1433E2276DF9F9BDC3997C4BD47,2013-01-01 10:03:00,2013-01-01 10:05:00,120,0.52,-73.981972,40.752525,-73.985313,40.747738,CSH,4.00,0.50,0.50,0.00,0.00,5.00
1,8FA961982C3FEF4386FB05B4667A2580,2013-01-01 23:00:00,2013-01-01 23:05:00,300,0.13,-73.969841,40.797359,-73.961899,40.812466,CSH,6.50,0.50,0.50,0.00,0.00,7.50
2,B6EAE07E2AD023B387EE5F09BB2D89E3,2013-01-01 23:02:00,2013-01-01 24:05:00,180,1.55,-74.003197,40.733032,-74.012985,40.717377,CRD,6.00,0.50,0.50,1.62,0.00,8.62
3,25BA06A87905667AA1FE5990E33F0E2E,2013-01-01 23:00:00,2013-01-01 23:05:00,300,0.61,-73.955925,40.781887,-73.963181,40.777832,CSH,5.00,0.50,0.50,0.00,0.00,6.00
3,577D1B6729EF9014CDBC949554EB4483,2013-01-01 23:00:00,2013-01-01 23:05:00,300,0.06,-73.984871,40.753723,-73.983849,40.754467,CSH,4.50,0.50,0.50,0.00,0.00,5.50
3,A2AB59B1DBAB1A0157369F1D63529C2F,2013-01-01 23:01:00,2013-01-01 23:05:00,240,0.59,0,40.721241,-73.997459,40.719055,CRD,5.00,0.50,0.50,1.10,0.00,7.10
2,CA79A5EDAD78E6E508E439D436277883,2013-01-01 23:04:00,2013-01-01 23:05:00,60,0.52,-73.987389,40.770588,-73.984077,40.775196,CSH,3.50,0.50,0.50,0.00,0.00,4.50
7,00B7691D86D96AEBD21DD9E138F90840,2013-01-01 23:04:00,2013-01-01 23:06:00,120,0.00,-73.802734,40.705162,-73.802734,40.705162,CRD,3.00,0.50,0.50,0.45,0.00,4.45
2,0758FB6257076E88C3B61B17182D4505,2013-01-01 23:00:00,2013-01-01 23:06:00,360,0.98,-73.978325,40.778091,-73.981834,40.768639,CSH,6.00,0.50,0.50,0.00,0.00,7.00
6,0893041AD047FFC989F18B0A3C4A1487,2013-01-01 23:05:00,2013-01-01 23:06:00,60,0.00,-73.992104,40.759102,-73.992119,40.759083,CSH,2.50,0.50,0.50,0.00,0.00,3.50
3,1D8906DAF98896F75E60E78CBE2B6BB6,2013-01-01 23:02:00,2013-01-01 24:06:00,240,0.53,0,40.769608,-73.977295,40.774387,CSH,4.50,0.50,0.50,0.00,0.00,5.50
6,CAD4B59BED1B935BA105349E9AAC9BD9,2013-01-01 24:04:00,2013-01-01 24:06:00,120,0.98,-73.954994,40.769287,-73.947144,40.779976,CSH,4.50,0.50,0.50,0.00,0.00,5.50
1,CAD4B59BED1B935BA105349E9AAC9BD9,2013-01-01 01:04:00,2013-01-01 02:06:00,120,0.98,0,40.769287,-73.947144,40.779976,CSH,4.50,0.50,0.50,0.00,0.00
